,ARCNN,DeeperSRCNN,dnCNN,EDSR_ResNet,FastARCNN,ResNet,Res_ARCNN,Res_FastARCNN,RUNet,SRResnet,UNet
20,13.13566228472222,27.910190188028775,27.649498637777178,5.522796064805146,15.38978271831326,27.492264927175704,28.308788741414407,27.240473419103445,27.216887403899975,16.52854175861214,23.46900693949733
40,13.959423873762416,28.37059624849409,29.745273649301698,7.037093601874798,15.251376020840274,27.850386713734494,28.620906693105294,28.669412072658897,27.64036605586309,26.0634861902914,20.972560036546213
60,19.508937033740523,28.643842668337392,30.925454290908572,9.83814006327231,18.82904300568968,27.84209322941331,28.56459518629625,28.335872466234015,29.216451051058318,27.66452551884995,23.998867866947247
80,13.387623395476767,28.930465602528727,31.212372329097867,6.661119554132172,22.733069826505997,28.527941417589815,28.585797054140112,28.43864245723077,29.16669679486988,26.30523291598278,28.29342780054014
100,20.603454387046668,29.155858741513985,31.378249004520054,9.282962215799694,14.678268921048721,28.5400121430611,28.597867350829606,28.36595470204907,29.972625791705955,27.842658181635308,23.72201068082221
120,20.82041017014477,29.235633962942572,31.199601400354126,5.448823863190598,24.84378678854141,29.29773896792854,28.631299845947137,28.17825449507361,29.942681990152952,21.515862850214216,28.05707830117817
140,26.154534097277853,29.356986994350777,31.58913359413604,6.09295509856101,26.144042392681715,29.358618211622414,28.616138260297742,28.677708134420573,30.157125162598373,24.265708885385735,27.58614050252444
160,26.842729805636385,29.46704196641774,31.70412791465885,9.139779498167146,25.271128776943623,29.906249175728153,28.59574628707162,28.62654387837709,30.232008411984218,26.639881410426508,26.238994835405965
180,27.295446729927153,29.593743516433836,31.553868120840296,11.342928525945565,27.154237384758197,29.9356818447001,28.64270426994085,28.467568545265905,30.38177870696079,28.3724339293505,28.23677333475469
200,27.104649278992834,29.856678009018225,31.62360239559498,21.350888317472364,27.035022535839087,30.272753149587608,28.74110602912089,28.453803141436047,30.448421215232433,28.067352408117493,28.526618685910933
220,26.100478558021955,28.354686620625372,31.719572842458692,11.870407999228146,28.278448634174598,30.49102813670931,28.865135441656403,28.426843482711732,29.71915670456789,28.169857946033982,26.289646389601348
240,27.02452230425493,28.333048969515474,31.765011813011128,17.157057224609712,27.81237113128248,30.697602113393508,28.826569494321195,28.480171000205612,30.23839444267066,28.270909361851587,29.498400914302493
260,27.805572524207737,28.514812491257818,31.814770824024734,13.731178233317971,27.6771652472095,30.82447075696746,28.963773124324877,28.59514008290459,30.679845182729302,27.931557260164634,29.706816321264313
280,28.122230086599963,28.839863507967067,31.90986321046908,12.75556140562678,28.13058511576733,30.911382412123835,28.872787236093252,28.65983264907926,30.473424064324153,27.51202304768091,29.447684939578743
300,28.32234823820481,29.045233489122143,31.943665984828105,16.787279486725108,28.412511636286737,30.912782331065547,28.95338828395843,28.81573833089238,30.654793209912892,22.942896569473422,28.67062946910074
320,28.483877836009878,29.22859189183629,31.960874969771393,20.163760056819285,28.72022117192313,31.041021384869403,28.905243327513322,28.680307476626528,30.61389374007359,27.73154817221285,29.733608790234605
340,28.61289126385019,29.315629429957546,31.975983166920226,15.847884979852171,28.951864079266663,31.194301231612535,28.885893003973383,28.747821997673263,30.736755178461717,27.92766879130845,28.35733943194556
360,28.68453610738162,29.304782321005497,32.01012349568846,26.672589242984024,29.276933777823643,31.10432469072916,28.822663918253834,28.771969115016383,30.58868592419001,27.452054942289873,29.63254657032764
380,28.74658108510164,29.418245388588076,31.954916703273735,24.357580022290684,29.202042560288,31.071514202776164,28.932646656166323,28.716564352338604,30.585714291712335,28.110182419706,30.118843117140408
400,28.6822715539918,29.563556519238947,31.880705899113636,25.948234251674553,29.21458948074469,30.959603220281487,29.030961543714152,28.75938923144263,30.428984589509735,28.244321802789763,29.48863736778851
