,ARCNN,DeeperSRCNN,dnCNN,EDSR_ResNet,FastARCNN,ResNet,Res_ARCNN,Res_FastARCNN,RUNet,SRResnet,UNet
20,0.16551627144115402,0.7492277077143835,0.7213263866849662,0.01888204942977324,0.22588793854785388,0.7162877398163227,0.7684045353765334,0.7004014852737548,0.6812765418718492,0.24485608416299182,0.4910056110038478
40,0.18636449427728682,0.7765145850803391,0.8138514521359301,0.045172842444975374,0.2150001454992814,0.737384363403312,0.7918354281114502,0.7958408025935618,0.708832381642285,0.6292595111614988,0.4213224753911438
60,0.3683809070570305,0.7875973095369391,0.8583352643159096,0.09796754216428963,0.3300628357141763,0.7314426727596408,0.7879805410519354,0.7653492566321964,0.7951252425004459,0.7219500553019872,0.5115033116703875
80,0.1732782771411267,0.8001540457067196,0.864782163962327,0.03971915001891163,0.48354948367934864,0.762599075063476,0.7887928375239408,0.7717302117752106,0.7755318745848413,0.6333712011760787,0.7647439641105948
100,0.3996152084826884,0.8122587679642524,0.8687423595638932,0.1001322868203471,0.18645011522713265,0.7473621535820377,0.7866265629648378,0.76214071976774,0.8222754849029678,0.7399038837032157,0.5398129131942021
120,0.4249399205356641,0.8151872796589309,0.855417581988766,0.011256437608555473,0.5899473238952814,0.7936390738221165,0.7868949763440102,0.7485791527381047,0.8140973490250838,0.505560982510981,0.731022745349121
140,0.6601673176455989,0.8208386677744208,0.8743915429028623,0.02270085264967212,0.6429174755305116,0.7858373448673335,0.7841960373708,0.7971794720074208,0.8234336849051076,0.5703300371372894,0.7069387933435956
160,0.6910482727889528,0.8187218717918568,0.8780551175964659,0.10805596382544229,0.6088840678211266,0.8139783158668162,0.7815720406165773,0.7854812574499038,0.8252110886593077,0.674404913295387,0.6657369116209892
180,0.7096697417446007,0.8221868051679927,0.8673536965716275,0.16066116993342663,0.7054140073380383,0.8046863999365483,0.7842101328586527,0.7679259847436495,0.8306294812876089,0.7899672643583593,0.765853017843861
200,0.6901084082977044,0.8399426160376593,0.8695074609225252,0.44611016372755713,0.6852735716180358,0.8241943692665619,0.7890032244005257,0.7672952529579866,0.83179494609909,0.7673836279742712,0.761359947939494
220,0.62967413630246,0.7733120978566499,0.8742916483705284,0.2605527654442636,0.7570488263236408,0.832617699028664,0.7963383463261865,0.7638331742002253,0.7848720654228684,0.7766618116442572,0.6286247500624229
240,0.6767223548535639,0.7675458461082673,0.874948312929894,0.3322258971459703,0.7245693838000352,0.8406947618033682,0.7909995809503824,0.7669381797844874,0.8178399812749009,0.7843758892174281,0.8049834244677115
260,0.7252947071740642,0.7751722451273815,0.8766017039616978,0.320228311440566,0.7108947593327011,0.8441249020947899,0.8000386038250035,0.7744399741681293,0.8433825983918751,0.7575953675681146,0.8156050439328665
280,0.7475485002300453,0.793915695717343,0.881229072023451,0.3350796609283651,0.7359117999740877,0.8476507104665646,0.7910479577480748,0.776365816705785,0.8294783391927975,0.7421592639523025,0.801680563667354
300,0.7557518620230221,0.8010147471121917,0.8830006617389344,0.42684314041665444,0.7542394749123079,0.8448927215711952,0.7966685013305743,0.7857763467560238,0.8403663904974693,0.638675713494832,0.748357649956121
320,0.7639267191530027,0.8104224051153754,0.8830935597046066,0.42971463383970643,0.7686209136860176,0.8540024646660918,0.791157341029382,0.7959836446042716,0.8383563305701168,0.7594324957368846,0.8130386680332298
340,0.771113090396952,0.8134425101565813,0.8837584290457201,0.2635187610306545,0.7815635444178918,0.8604420693667989,0.78876473290496,0.7919135593323007,0.8457170550250055,0.7615395914575139,0.7269269061865246
360,0.7741696114166898,0.8100828317179584,0.8850749209354171,0.7695080684037259,0.801061144126055,0.8547735073275048,0.7831389507850391,0.7879904392668908,0.8358097780657019,0.7261080321060424,0.8018876979153221
380,0.7760163951207468,0.8150758576936701,0.8818481792151377,0.5729818703055986,0.7935450481418636,0.8523258997843145,0.7903053436687568,0.7939069786591453,0.8364255215268692,0.7688008848590631,0.841939056003583
400,0.7683757551806674,0.8224358474777743,0.8778093218725558,0.6554398701222371,0.7942157489357661,0.8453159269534503,0.7970980289293406,0.7948227609998193,0.8268485504898074,0.7839905717107065,0.7877415155820348
