,DeeperSRCNN,dnCNN,EDSR_ResNet,ResNet,RUNet,SRResnet,UNet
20,30.739591529873753,30.851425528037,14.51399538060437,29.632049047631952,28.86696057699798,17.60943376337889,22.832730563440794
40,30.863638869634975,30.63056576213732,18.27217877669739,29.115763246273225,29.461368666295012,13.058303297536066,23.65915072981733
60,30.816070317397198,30.93716601835338,5.3978853725326585,30.659280661562754,30.21775777166076,6.769506591607782,22.6780121185389
80,30.906615145644956,30.60393493372136,5.902811984813139,30.65978993357586,30.90771425216196,12.871181765603476,29.200536363484655
100,30.92743520827946,30.14527406602339,6.463299270781911,30.489569989324313,31.355942591899797,20.068038352475472,20.21409518875931
120,30.931872263902147,29.821439982448045,6.329024571575824,30.91897357718546,30.97911698687594,22.089310884346755,25.74463649340466
140,31.30043206744809,29.95062101578511,7.9842991719541425,31.18695577544746,30.845397614222904,12.02160897694065,30.23008723160913
160,31.383166373577385,29.76980243305461,5.794647857634549,31.233388107121222,30.907265236962086,14.083571240050453,23.756086581098028
180,31.456435609935973,30.391604306593273,12.452924390076152,31.44630566411593,30.912686981150923,11.449496681030837,24.12522944336866
200,31.5514136688861,30.58566141004984,8.839646241364402,31.185850100411642,31.5165991495437,26.433344580004633,23.805841685916246
220,31.650311401088718,30.729039238814472,18.50014863960468,31.457798225052873,31.387298667780467,26.086592411856273,29.836509999138123
240,31.57884104851958,30.670533822914038,14.158815119896506,31.646386912877993,31.819565791622157,30.00532040541852,26.53445098541173
260,31.58955636731493,31.42893810691952,10.015260709181197,31.752170364659605,31.487058072340215,27.04376146454364,27.27192297610528
280,31.676476993629034,31.600904282184505,17.125200295041108,31.95909111787923,31.87692790596093,26.016479672735617,29.676550266604924
300,31.67444740974003,31.963618454733083,16.460404363605964,32.08524300095144,31.791773823015003,22.858414120758646,30.409395099472444
320,31.664381349313732,32.0408451090821,21.635578902355793,32.06741256200446,32.07547469471709,30.39236105458715,30.069204996810814
340,31.65443894253551,31.926444336715452,17.33909835544161,32.220900207960334,31.62283479726045,30.675697927448986,27.04424014134167
360,31.542413295569823,32.17768926369561,24.736756729380264,32.19083871982644,31.75682411618276,30.68331433672214,28.823768116797773
380,31.55123923889612,32.25306457595868,12.75013944805915,32.510790167507864,31.973549235862084,30.705563388874612,30.681761410912788
400,31.531120954878354,32.48964390285006,14.415701013858618,32.52034934775366,32.117679704381366,30.785567312340127,28.023227540127152
420,31.553695293419157,32.1990577840265,18.156124326127028,32.48166273026956,32.14797321234811,28.903709347874308,29.33715958348813
440,31.574571428236425,32.64128614656136,18.239443269304097,32.433775157814466,32.352214143034466,29.75944482323894,30.574015845746512
460,31.56860250433294,32.54162295398204,25.769557045501433,32.532199975039546,32.36914625623764,29.8217760947686,29.91170481775709
480,31.57235076655294,32.755230134979904,28.262321369079604,32.5986662534827,32.340240282750344,29.779301455546054,30.89464912335027
500,31.572333634013567,32.90829509525386,20.030721136015604,32.523100387401314,32.64830084244576,30.688247628266087,29.418637974456075
520,31.596293644155896,32.82589679637604,16.54769962278804,32.65009411042728,32.688498685185806,30.59915675659098,29.78763004487437
540,31.59127645725454,32.726607938543715,20.141912998601473,32.59607191424519,32.800623586337714,30.655845199247775,29.72693125112545
560,31.59765938841495,32.91526911063394,29.01396144163363,32.56892352658416,32.392837990694815,29.981029311848708,30.294871953097026
580,31.590351017690377,32.82378478357487,29.329496690507895,32.64691112240104,32.36374936507768,30.75392950973336,30.579698346807348
600,31.592238278044288,33.11763863420027,29.818588684737467,32.71545223630809,32.3676743764577,28.126994291906975,31.374928600055057
620,31.384093258628592,33.05953213781383,30.38017483625258,32.82941876831576,32.361541816365936,30.627258162654332,29.997115118058225
640,31.598621292235123,32.63266298003125,30.722011092255954,32.693779996416744,32.60890580971671,30.15898980696277,30.298350318240832
660,31.352253306617744,32.71853452046653,30.605877952818187,32.75550992837911,32.88451701629461,30.516163793279098,30.302894724245544
680,31.384589023189996,32.84164242679314,30.777787749476808,32.78711690452698,32.951964247770185,30.558514436700385,30.408185626071703
700,31.593736428568267,32.97289923595139,30.38138752791085,32.814966943622316,32.820241247363384,28.546508060478377,30.427582689839465
720,31.348775652821853,32.99543110644398,30.336608007553043,32.80815851358765,32.75939734049428,30.19474569159853,30.551603310440093
740,31.37473691010429,33.041193541402954,30.729149655138354,32.904140035608656,32.50398231813939,30.38461167807514,30.940596461654973
760,31.384345153253253,33.08060880819114,28.19434720873858,32.95749239217999,32.87020332215245,30.617361569832905,31.33017313483456
780,31.379623877115964,33.12725903326603,30.697978511673227,32.95542729858349,32.823255670675,28.541627246364964,32.02386849023931
800,31.587564990372147,33.05139776969398,30.76422504655097,32.73569901963137,32.90248359783259,28.016193938389506,31.170681888783964
