,DeeperSRCNN,dnCNN,EDSR_ResNet,ResNet,RUNet,SRResnet,UNet
20,0.780473727151768,0.785011436479263,0.10386782657068111,0.7328151669790905,0.6767307180545185,0.17387102845864982,0.3806364717949028
40,0.7825369933933192,0.7681021893010025,0.1957151851356348,0.6774682054657389,0.6957771337309528,0.08395518262753092,0.39317257678511996
60,0.7843900660091332,0.7849223162531,0.009704742816718782,0.7687401512892194,0.7462343933040465,0.01822708198683574,0.3692075664941967
80,0.7870857240686902,0.7691588456793654,0.016364543739026582,0.7633110742186398,0.7813057599994201,0.11213987358825411,0.6954655593760398
100,0.7874638239419622,0.7397768144427808,0.021122919905686436,0.7414010570480863,0.802151903209258,0.6207345110992218,0.29802013123767696
120,0.7875746671818142,0.7042668664335332,0.02202663031995061,0.7772665194037213,0.7707125843346608,0.5787950935733372,0.48557723766403593
140,0.7986355410490036,0.7243041488950046,0.04180335096761434,0.7965732784572062,0.7840679479099429,0.09405703629358314,0.7318925638504069
160,0.8049665838210047,0.7224703933188843,0.013648020090188149,0.7961522410582078,0.7872171852897075,0.12658429382233818,0.43469594100701675
180,0.8091166411817118,0.7563919506933623,0.19999867611981356,0.8068587314586836,0.7873307090709539,0.08136391959348035,0.44599264546580686
200,0.8196848854985884,0.767357955598784,0.044489785883501116,0.7910069616831715,0.8143593908530019,0.773471165211415,0.427892847981843
220,0.8255561780562684,0.7679987151089354,0.3201434866761107,0.8084737989067944,0.8133303224160432,0.5580740800356342,0.7061993978169968
240,0.8218422763591685,0.7609157950571299,0.40788942811385753,0.8155832365529151,0.8282913293529492,0.7725959985026863,0.566971054589216
260,0.8222905060024137,0.80012016643754,0.07237866552371527,0.8223386797381487,0.8161488282360156,0.6093393089279906,0.5919034187478401
280,0.8258354961847688,0.8023661665323627,0.18246263009517294,0.8320431512998596,0.8317138546223398,0.6539006908873108,0.7003957429456945
300,0.8254680011770062,0.8228609618441377,0.21716060574625742,0.838324727922804,0.8241085543709396,0.3924595431748177,0.7443856405908844
320,0.8237803687152553,0.8264246285081638,0.6813884170466479,0.8364658974016989,0.8389039298165488,0.7635808995195169,0.7293738163225154
340,0.8220667368975687,0.8197940938100741,0.2523110279367074,0.8431877768031076,0.816782133639427,0.78310056698235,0.5530684361510126
360,0.8171197667936317,0.8311679388308154,0.6510961874413946,0.8405951029342498,0.8236120417543323,0.7790712597870457,0.6471993346036857
380,0.8172777238935127,0.8349982065362245,0.10521500392230507,0.8530235504354593,0.8294386581627043,0.7796816573792602,0.7620673268113546
400,0.8154932903892196,0.8457260410874105,0.13782718375272635,0.8514760445646353,0.8358296632955354,0.7827521221984511,0.6110719427298239
420,0.8172137680167026,0.829412297373246,0.19221219387396227,0.8486518292095281,0.8391440076241777,0.7788865613984426,0.665176262862602
440,0.8191564378068693,0.8507874530542896,0.29810110518878113,0.8465411528177955,0.849122779682495,0.7236914793559831,0.751736349185707
460,0.8181138312152729,0.8445774083517417,0.5598817661699201,0.8495508136532826,0.8471157295365787,0.7786097906586738,0.6967849110958411
480,0.8189488542879271,0.8551915778061454,0.7521468118556739,0.8524594916800178,0.8472266464724522,0.7317723611962446,0.7622361031434911
500,0.8190716563834181,0.8623611845177463,0.3261486242771875,0.8481639126812528,0.8582836381757845,0.7777372138165419,0.6740957659717011
520,0.8214021664587233,0.8583542867371484,0.2004410357433399,0.854980651353593,0.8585747612183234,0.7721030532915096,0.6853087458717876
540,0.8213098148656174,0.8537957655380727,0.294923556549893,0.852199596617227,0.863993554807513,0.7765091586090175,0.6858782388789856
560,0.821427059114584,0.8611050439716623,0.6948693559933135,0.849670805297581,0.844885122365809,0.7801981336442725,0.7180962693370622
580,0.8204168472940996,0.8582979117515297,0.6961768019103879,0.8527279567312188,0.8418888173913643,0.7795131547935964,0.7386038369942064
600,0.821321833392262,0.8698167534242299,0.7206419912821828,0.8561372247907347,0.8422536823618337,0.7764689590126687,0.7897856181118469
620,0.81132997056673,0.8676466035568302,0.7780779757318198,0.8601122143995956,0.8388823217535281,0.7803916682877318,0.701983903726892
640,0.8213535650734732,0.8478425085102815,0.7843744096931996,0.8548808936831259,0.8526326899018541,0.7793882959003791,0.7219194093076161
660,0.8106575198540724,0.8525198183152866,0.7798148212320967,0.8579227065367319,0.8640483223587332,0.7714732777154298,0.722968198960735
680,0.8113439763850309,0.8577782013991319,0.7842384600492475,0.8590989803157802,0.8686043199205439,0.7750272390214695,0.7295291969022316
700,0.8205121015178619,0.863719339358806,0.7704050616949735,0.8599242212556385,0.8637960873662315,0.6510123499055375,0.7290895011419862
720,0.8101699825361695,0.864389644194434,0.7621639445269726,0.8587093484622988,0.8597838501735366,0.753845920061997,0.7340870935302882
740,0.8109263305927119,0.8652865864363178,0.7803936362444784,0.8625396636115695,0.8482006983977328,0.7806490110244211,0.7663843157065361
760,0.8112933685215533,0.8664576043625829,0.6445617114677571,0.8656783597305489,0.8644928856565532,0.7752719234103547,0.7880294740314214
780,0.8111101745992543,0.8693177942714204,0.7800185402983928,0.8652911260324667,0.8634321119275428,0.7765748005746871,0.8273138794748061
800,0.8203001607196562,0.866215237720349,0.7821254018680937,0.8558506574758653,0.8657632289211459,0.6479487602707665,0.782346720260568
